speech_rate,setting,sound,subject
2.303437101948513,urban_set,urban_sound,1
4.049804167695693,natural_set,urban_sound,1
3.2630515899639296,urban_set,natural_sound,1
5.1265834851109835,natural_set,natural_sound,1
3.1584787388216746,urban_set,urban_sound,1
5.571320170660075,natural_set,urban_sound,1
4.862417890190658,urban_set,natural_sound,1
6.53623988889297,natural_set,natural_sound,1
2.894780057274694,urban_set,urban_sound,1
3.8431227520163485,natural_set,urban_sound,1
2.27555879210736,urban_set,natural_sound,1
5.445499361199955,natural_set,natural_sound,1
3.2920073270913255,urban_set,urban_sound,1
4.576365408352625,natural_set,urban_sound,1
3.6149221801516647,urban_set,natural_sound,1
4.795255330291066,natural_set,natural_sound,1
2.4194117501164745,urban_set,urban_sound,1
4.263208140380303,natural_set,urban_sound,1
3.6572523443206717,urban_set,natural_sound,1
6.326772655867171,natural_set,natural_sound,1
2.2358283781609227,urban_set,urban_sound,1
2.982688615959801,natural_set,urban_sound,1
3.596927580781598,urban_set,natural_sound,1
5.388549949216602,natural_set,natural_sound,1
3.165544554341957,urban_set,urban_sound,1
2.83728836603882,natural_set,urban_sound,1
4.89730465835937,urban_set,natural_sound,1
4.290804257430133,natural_set,natural_sound,1
3.967397005981433,urban_set,urban_sound,1
3.365181656532964,natural_set,urban_sound,1
2.7464527642133136,urban_set,natural_sound,1
6.569827954947827,natural_set,natural_sound,1
2.4732062468284965,urban_set,urban_sound,1
3.3625321541911033,natural_set,urban_sound,1
3.2006393537770355,urban_set,natural_sound,1
4.000124922384546,natural_set,natural_sound,1
1.7904372659935837,urban_set,urban_sound,1
4.591660025584573,natural_set,urban_sound,1
4.136558604877578,urban_set,natural_sound,1
4.104083611187451,natural_set,natural_sound,1
2.0332994627864993,urban_set,urban_sound,1
3.8482663086329802,natural_set,urban_sound,1
4.093220984526603,urban_set,natural_sound,1
4.112435418787588,natural_set,natural_sound,1
2.780082329145667,urban_set,urban_sound,1
6.089807929364559,natural_set,urban_sound,1
4.5821150628452365,urban_set,natural_sound,1
4.440340159860541,natural_set,natural_sound,1
2.4274372755813927,urban_set,urban_sound,1
