RT_ms,language,environment,age
114.36813005768002,Tagalog,quiet,old
818.6349145496812,Tagalog,noisy,old
1178.2305264800366,Tagalog,quiet,young
20.828149829902898,Tagalog,quiet,old
925.5975232349466,Tagalog,noisy,old
996.801743565587,Tagalog,noisy,young
38.60202324926108,Tagalog,quiet,old
2.588362654263569,Tagalog,noisy,old
170.3891479663909,Tagalog,quiet,young
1.6636646714562826,Tagalog,noisy,young
87.1817395360111,Tagalog,noisy,old
429.35538945590537,Tagalog,noisy,young
151.4074685159048,Tagalog,quiet,old
716.1367445155023,Tagalog,noisy,old
31.636813574092088,Tagalog,noisy,young
100.75719692722195,Tagalog,quiet,old
23.775207040968482,Tagalog,noisy,old
171.70905008586013,Tagalog,quiet,young
30.431815108656025,Tagalog,noisy,young
11.975383148069024,Tagalog,quiet,old
28.530162156575216,Tagalog,quiet,young
532.7341448459028,Tagalog,noisy,young
249.64021629002346,Tagalog,quiet,old
1179.85831866245,Tagalog,noisy,old
89.29374611973448,Tagalog,quiet,young
5.350762122688094,Tagalog,noisy,young
493.55370044535465,Tagalog,quiet,old
274.9899389006886,Tagalog,noisy,old
32.69782179845088,Tagalog,quiet,young
961.3901025662268,Tagalog,noisy,young
121.02630818602127,Tagalog,noisy,old
36.046475932090345,Tagalog,quiet,young
4.619944833963258,Tagalog,noisy,young
1.1366706014586538,Tagalog,quiet,old
97.72797766477642,Tagalog,noisy,old
256.8799279137665,Tagalog,quiet,young
320.6149099639432,Tagalog,noisy,old
277.43095378156085,Tagalog,quiet,young
1255.4381409690486,Tagalog,noisy,young
85.53325314666633,Tagalog,quiet,old
220.26849531723113,Tagalog,noisy,old
303.75866014098756,Tagalog,quiet,old
307.95241341683425,Tagalog,noisy,old
142.10913554975127,Tagalog,quiet,old
793.5937610491775,Tagalog,noisy,old
137.07448380207927,Tagalog,quiet,young
535.7015329861902,Tagalog,noisy,young
187.3056610932263,Tagalog,quiet,old
1175.3842303174565,Tagalog,noisy,old
33.17513826690399,Tagalog,noisy,young
5.429114848703537,Tagalog,quiet,old
339.9766857226786,Tagalog,noisy,old
1.2471016709686844,Tagalog,quiet,young
52.75866039220697,Tagalog,quiet,old
41.71033360318399,Tagalog,noisy,old
135.8962745051621,Tagalog,quiet,old
55.07631306076498,Tagalog,noisy,young
1854.8163386465678,Tagalog,quiet,old
61.823930331208395,Tagalog,noisy,old
571.3283469398573,Tagalog,quiet,young
1612.0162965799477,Tagalog,noisy,young
443.99840095707356,Tagalog,quiet,old
738.8416912789384,Tagalog,quiet,young
12.561728897258083,Tagalog,noisy,young
829.9480188394176,Tagalog,quiet,young
71.08058881567395,Tagalog,noisy,old
96.48454871941703,Tagalog,noisy,young
84.9797601706415,Tagalog,noisy,old
358.72959107756066,Tagalog,noisy,young
1831.6105303992938,Tagalog,quiet,old
1640.7233383165858,Tagalog,noisy,old
81.0753044560159,Tagalog,quiet,old
18.849291205529603,Tagalog,noisy,old
418.20272118203155,Tagalog,quiet,young
180.11699519843833,Tagalog,quiet,young
756.6145917895238,Tagalog,noisy,young
573.0163966952873,Tagalog,noisy,old
455.49885580776254,Tagalog,noisy,young
30.225716171279192,Tagalog,quiet,old
317.98967654528553,Tagalog,noisy,old
271.27783503845217,Tagalog,quiet,young
541.1856048288288,Tagalog,noisy,young
59.66778781744543,Tagalog,quiet,old
297.1066623388002,Tagalog,noisy,young
179.22370152119538,Tagalog,noisy,old
190.09462626182025,Tagalog,quiet,young
389.4453656699319,Tagalog,noisy,old
1648.2724627131306,Tagalog,quiet,young
236.51811227301855,Tagalog,quiet,old
101.0484317409219,Tagalog,quiet,young
7.068685968584311,Tagalog,noisy,young
14.82538270526593,Tagalog,quiet,old
2.099819453400402,Tagalog,noisy,old
309.8110521358304,Tagalog,quiet,young
0.7896439345034744,Tagalog,quiet,old
246.04481932912034,Tagalog,quiet,young
76.07127869688522,Tagalog,quiet,old
275.6403113440463,Tagalog,noisy,old
1632.123632600793,Tagalog,quiet,young
1460.2225091564878,Tagalog,noisy,young
94.72987473625828,Tagalog,quiet,old
1124.3987623611154,Tagalog,noisy,old
0.9656643727748428,Tagalog,quiet,young
22.2585394956743,Tagalog,noisy,old
887.7867051445422,Tagalog,noisy,old
1342.051682329332,Tagalog,quiet,old
170.66052010725073,Tagalog,quiet,young
1344.255516614655,Tagalog,noisy,young
34.48059319948308,Tagalog,noisy,old
555.8185972796856,Tagalog,noisy,young
2.651078159073908,Tagalog,quiet,old
159.41611627264328,Tagalog,noisy,old
751.6007362533753,Tagalog,quiet,young
64.41537743189052,Tagalog,quiet,old
186.27693312520015,Tagalog,quiet,young
786.0782260761865,Tagalog,noisy,young
60.76358640411835,Tagalog,quiet,old
248.36752491146552,Tagalog,noisy,young
20.566271140206972,Tagalog,quiet,old
10.810298434314856,Tagalog,noisy,old
72.31090931523669,Tagalog,quiet,old
5.903806904124905,Tagalog,noisy,old
34.97917410612681,Tagalog,quiet,young
454.18068820759646,Tagalog,noisy,young
3.519393449626259,Tagalog,noisy,old
115.47743758042209,Tagalog,quiet,old
302.2271359166076,Tagalog,noisy,old
42.204778927412406,Tagalog,quiet,young
157.85776408987857,Maori,quiet,old
201.2279283292028,Maori,noisy,old
125.8012707893361,Maori,quiet,young
1931.3517879300837,Maori,noisy,young
163.9614161716691,Maori,quiet,old
272.55354134917275,Maori,noisy,old
59.78448433490162,Maori,quiet,young
289.74220412093007,Maori,noisy,young
20.952772793080545,Maori,quiet,old
151.49754704457393,Maori,noisy,old
957.3041380598515,Maori,quiet,young
184.68855141300827,Maori,noisy,young
112.03490697277181,Maori,quiet,old
58.50784674155287,Maori,noisy,old
1481.3550526281263,Maori,quiet,young
201.75794869395492,Maori,quiet,old
255.19786789830988,Maori,noisy,old
1942.6081060384674,Maori,quiet,young
37.215323109369635,Maori,quiet,old
125.38335317271192,Maori,noisy,old
1610.92460812089,Maori,noisy,young
110.93503252541326,Maori,quiet,old
52.882034675861846,Maori,noisy,old
923.063080829052,Maori,quiet,young
23.092471014289984,Maori,quiet,old
188.49242323429655,Maori,noisy,old
298.48756168138937,Maori,quiet,young
43.12960950026248,Maori,quiet,old
110.0471665837878,Maori,noisy,old
23.25495613561834,Maori,quiet,old
712.5195068208542,Maori,noisy,old
194.38801612115773,Maori,quiet,young
794.9291108232196,Maori,noisy,young
14.330055277828974,Maori,quiet,old
100.13783783218294,Maori,noisy,old
910.6290333722544,Maori,quiet,young
84.73077218653059,Maori,quiet,old
61.190047861324345,Maori,noisy,old
813.6850828884911,Maori,noisy,young
43.24304499563315,Maori,quiet,old
116.00585987668151,Maori,noisy,old
512.1058532640052,Maori,noisy,young
25.813799047610505,Maori,quiet,old
69.8917875389616,Maori,noisy,old
1682.0252087129945,Maori,quiet,young
944.1326333953897,Maori,noisy,young
178.8018726201353,Maori,quiet,old
73.43626032159605,Maori,noisy,old
909.582480345478,Maori,quiet,young
1600.3938964472284,Maori,noisy,young
95.44523949671076,Maori,quiet,old
273.56302623016086,Maori,noisy,old
741.5739103243559,Maori,noisy,young
201.60039394838188,Maori,quiet,old
215.22325268712842,Maori,noisy,old
973.5935226685509,Maori,noisy,young
164.59597235069518,Maori,quiet,old
43.311950468209034,Maori,noisy,old
518.9800330204198,Maori,quiet,young
457.80660929127623,Maori,noisy,young
164.69222015978286,Maori,quiet,old
57.3671740005343,Maori,noisy,old
224.2710312956107,Maori,quiet,young
395.0500130190727,Maori,noisy,young
175.2308943880617,Maori,quiet,old
81.07245065154532,Maori,noisy,old
210.32060457201146,Maori,quiet,young
787.6110953467556,Maori,noisy,young
97.70282920406915,Maori,quiet,old
374.96600747030925,Maori,noisy,old
166.15053715519363,Maori,quiet,old
454.39762253399476,Maori,noisy,old
506.1248028925421,Maori,noisy,young
444.0437177097352,Maori,quiet,old
13.033943628617264,Maori,noisy,old
535.7702892372238,Maori,noisy,young
124.23699820086566,Maori,quiet,old
22.244740569736404,Maori,noisy,old
1820.710322911738,Maori,noisy,young
68.92646843078018,Maori,quiet,old
209.2427775511782,Maori,noisy,old
32.70755096607995,Maori,quiet,old
142.5855497978202,Maori,noisy,old
275.12239353200664,Maori,quiet,young
20.52358561665863,Maori,quiet,old
79.58877614794763,Maori,noisy,old
232.95871874430742,Maori,quiet,young
291.7259686789875,Maori,noisy,young
180.14846921610544,Maori,quiet,old
840.5718984003425,Maori,noisy,old
1134.9179894982851,Maori,quiet,young
121.62877804180502,Maori,noisy,young
83.90156706677136,Maori,quiet,old
659.3142100559226,Maori,noisy,old
85.62985078497907,Maori,noisy,young
233.3143129846002,Maori,quiet,old
60.93478548865622,Maori,noisy,old
446.39238401068906,Maori,quiet,young
90.66386581693456,Maori,quiet,old
43.41982734458066,Maori,noisy,old
264.70103526572393,Maori,quiet,young
856.0241855070333,Maori,noisy,young
9.732688952647257,Maori,quiet,old
177.0153647301702,Maori,noisy,old
419.34356049795286,Maori,quiet,young
474.9725603845009,Maori,noisy,young
44.663450310191116,Maori,quiet,old
636.6603080825085,Maori,noisy,old
1740.62785813138,Maori,quiet,young
159.01103177418818,Maori,noisy,young
62.51697642237297,Maori,quiet,old
92.53222771364081,Maori,noisy,old
386.51173554954505,Maori,quiet,young
265.4668156832318,Maori,noisy,young
260.85950273827365,Maori,quiet,old
166.0450305545466,Maori,noisy,old
461.7212233135318,Maori,quiet,young
21.05665166832869,Maori,quiet,old
130.02005080849182,Maori,noisy,old
856.6843376292505,Maori,quiet,young
18.11581219005251,Maori,quiet,old
552.6175499723663,Maori,noisy,old
1382.9657533246993,Maori,quiet,young
42.87623729624909,Maori,quiet,old
89.31421796477075,Maori,noisy,old
719.7048773469717,Maori,quiet,young
163.05945721180981,Maori,quiet,old
229.15891413120409,Maori,noisy,old
297.0729049768582,Maori,noisy,young
83.44439554190713,Maori,quiet,old
181.2196740461459,Maori,noisy,old
166.74213353758887,Maori,quiet,young
1389.7976593315295,Maori,noisy,young
154.05929449503316,Maori,quiet,old
155.1474848905638,Maori,noisy,old
232.38090372947048,Maori,quiet,young
970.8344004506004,Maori,noisy,young
52.00940404389833,Maori,quiet,old
259.93229074728976,Maori,noisy,old
566.1953973394454,Maori,quiet,young
583.8218076586767,Maori,noisy,young
42.89227368028237,Maori,quiet,old
675.6483124775862,Maori,noisy,old
1071.840737585228,Maori,quiet,young
1265.6491571119025,Maori,quiet,old
22.851306519736767,Maori,noisy,old
266.8111146132626,Maori,quiet,young
219.59179377865647,Maori,quiet,old
510.78026322775594,Maori,noisy,old
1120.6042376186426,Maori,quiet,young
29.034153993649717,Maori,quiet,old
36.93863426733154,Maori,noisy,old
465.4832978227945,Maori,quiet,young
351.89826208203266,Maori,noisy,young
306.03080497106845,Maori,quiet,old
145.48458862718027,Maori,noisy,old
744.2443466728772,Maori,quiet,young
911.3549482988706,Maori,quiet,old
34.54814282686935,Maori,noisy,old
28.677720243326313,Maori,quiet,young
475.3314556610118,Maori,noisy,young
179.89110258182507,Maori,quiet,old
277.457262006113,Maori,noisy,old
742.5124544776802,Maori,quiet,young
10.278365886646911,Maori,quiet,old
65.57939126495712,Maori,noisy,old
112.77373070114125,Maori,quiet,young
447.02113772889675,Maori,noisy,young
