book,word,value
1,best,3
1,top,2
1,better,2
1,growing,1
1,yes,1
1,yes,1
1,hiding,-1
1,trust,1
1,important,2
1,trust,1
1,pretend,-1
1,careless,-2
1,broken,-1
1,huge,1
1,huge,1
1,big,1
1,hid,-1
1,like,2
1,relieved,2
1,carefully,2
1,no,-1
1,problems,-2
1,no,-1
1,destroyed,-3
1,cut,-1
1,like,2
1,yes,1
1,perfect,3
1,better,2
1,good,3
1,great,3
1,kiss,2
1,like,2
1,sorry,-1
1,dead,-3
1,poor,-2
1,yes,1
1,yes,1
1,sad,-2
1,no,-1
1,join,1
1,yeah,1
1,stopped,-1
1,good,3
1,luck,3
1,scream,-2
1,like,2
1,no,-1
1,fair,2
1,no,-1
1,dream,1
1,good,3
1,funny,4
1,feeling,1
1,dream,1
1,demanded,-1
1,want,1
1,want,1
1,perfect,3
1,forgotten,-1
1,hated,-3
1,favorite,2
1,bright,1
1,liked,2
1,like,2
1,crash,-2
1,died,-3
1,greeting,1
1,top,2
1,no,-1
1,like,2
1,like,2
1,like,2
1,difficult,-1
1,big,1
1,huge,1
1,danger,-2
1,like,2
1,hard,-1
1,worth,2
1,like,2
1,angry,-3
1,worried,-3
1,bad,-3
1,broken,-1
1,adventure,2
1,mad,-3
1,hated,-3
1,sorry,-1
1,broken,-1
1,easy,1
1,silly,-1
1,hates,-3
1,like,2
1,nasty,-3
1,like,2
1,leave,-1
1,hopefully,2
1,ruins,-2
1,leave,-1
1,alone,-2
1,cry,-1
1,crying,-2
1,cried,-2
1,screwed,-2
1,cry,-1
1,cried,-2
1,want,1
1,huge,1
1,pretend,-1
1,nasty,-3
1,good,3
1,best,3
1,like,2
1,backs,1
1,stopped,-1
1,pretending,-1
1,cry,-1
1,luck,3
1,warning,-3
1,warning,-3
1,funny,4
1,no,-1
1,problem,-2
1,strange,-1
1,no,-1
1,good,3
1,tired,-2
1,cut,-1
1,hide,-1
1,horrible,-3
1,laughed,1
1,silly,-1
1,laughed,1
1,fit,1
1,great,3
1,punished,-2
1,terrible,-3
1,trouble,-2
1,angry,-3
1,big,1
1,wrong,-2
1,worth,2
1,complained,-2
1,liked,2
1,complain,-2
1,favorite,2
1,like,2
1,dream,1
1,like,2
1,dream,1
1,hated,-3
1,no,-1
1,matter,1
1,dream,1
1,smiling,2
1,bad,-3
1,like,2
1,best,3
1,careful,2
1,bored,-2
1,favorite,2
1,glory,2
1,top,2
1,good,3
1,cool,1
1,huge,1
1,crushing,-1
1,crushed,-2
1,boring,-3
1,moaned,-2
1,died,-3
1,no,-1
1,stupid,-2
1,disturb,-2
1,worse,-3
1,annoying,-2
1,nice,3
1,deafening,-1
1,hard,-1
1,no,-1
1,great,3
1,screamed,-2
1,swiftly,2
1,shock,-2
1,strong,2
1,sweet,2
1,apologized,-1
1,swearing,-2
1,death,-2
1,worst,-3
1,calming,2
1,safely,1
1,angry,-3
1,no,-1
1,collapsed,-2
1,wishing,1
1,risk,-2
1,miserable,-3
1,died,-3
1,crash,-2
1,died,-3
1,strange,-1
1,vision,1
1,pain,-2
1,crash,-2
1,no,-1
1,strange,-1
1,top,2
1,no,-1
1,hated,-3
1,odd,-2
1,broken,-1
1,liked,2
1,no,-1
1,escape,-1
1,broken,-1
1,glad,3
1,no,-1
1,escaping,-1
1,big,1
1,stupid,-2
1,happy,3
1,join,1
1,favorite,2
1,hope,2
1,accepted,1
1,funny,4
1,want,1
1,no,-1
1,thanks,2
1,poor,-2
1,horrible,-3
1,sick,-2
1,bad,-3
1,broken,-1
1,fond,2
1,good,3
1,tears,-2
1,trust,1
1,laugh,1
1,horrible,-3
1,like,2
1,dirty,-2
1,gray,-1
1,stupid,-2
1,gray,-1
1,like,2
1,doubted,-1
1,best,3
1,like,2
1,flop,-2
1,like,2
1,like,2
1,no,-1
1,no,-1
1,no,-1
1,no,-1
1,mistake,-2
1,no,-1
1,trembling,-2
1,joke,2
1,disgust,-3
1,ill,-2
1,funny,4
1,stop,-1
1,reach,1
1,choking,-2
1,goodness,3
1,forgotten,-1
1,ignored,-2
1,want,1
1,want,1
1,want,1
1,demanded,-1
1,furious,-3
1,fight,-1
1,won,3
1,want,1
1,no,-1
1,no,-1
1,ignore,-1
1,yes,1
1,best,3
1,swear,-2
1,nonsense,-2
1,no,-1
1,mistake,-2
1,mistake,-2
1,forced,-1
1,smile,2
1,yes,1
1,big,1
1,nice,3
1,fit,1
1,broken,-1
1,top,2
1,favorite,2
1,want,1
1,shock,-2
1,screamed,-2
1,sick,-2
1,bitterly,-2
1,wishing,1
1,nice,3
1,strangled,-2
1,cry,-1
1,difficult,-1
1,confused,-2
1,fail,-2
1,alarm,-2
1,big,1
1,alive,1
1,big,1
1,clearly,1
1,want,1
1,strange,-1
1,like,2
1,no,-1
1,forced,-1
1,no,-1
1,confused,-2
1,furious,-3
1,complain,-2
1,badly,-3
1,tired,-2
1,ill,-2
1,happy,3
1,no,-1
1,no,-1
1,damn,-4
1,like,2
1,great,3
1,want,1
1,leave,-1
1,no,-1
1,missing,-2
1,no,-1
1,stop,-1
1,bad,-3
1,missed,-2
1,stopped,-1
1,gloomy,-2
1,big,1
1,shared,1
1,better,2
1,dear,2
1,top,2
1,mad,-3
1,disappeared,-1
1,great,3
1,dud,-2
1,great,3
1,want,1
1,fun,4
1,smiling,2
1,perfect,3
1,like,2
1,top,2
1,miserable,-3
1,certain,1
1,no,-1
1,agreed,1
1,toothless,-2
1,wicked,-2
1,gray,-1
1,aboard,1
1,like,2
1,reached,1
1,broken,-1
1,horrible,-3
1,empty,-1
1,fire,-2
1,empty,-1
1,good,3
1,chance,2
1,reaching,1
1,agreed,1
1,cheer,2
1,promised,1
1,comfortable,2
1,hunger,-2
1,drowned,-2
1,steal,-2
1,hard,-1
1,like,2
1,funny,4
1,annoy,-2
1,stupidly,-2
1,crash,-2
1,warn,-2
1,clean,2
1,deafening,-1
1,crash,-2
1,like,2
1,easy,1
1,fear,-2
1,great,3
1,hide,-1
1,terrified,-3
1,smile,2
1,like,2
1,funny,4
1,demand,-1
1,leave,-1
1,great,3
1,reached,1
1,gun,-1
1,funny,4
1,like,2
1,happy,3
1,trembling,-2
1,happy,3
1,thank,2
1,lost,-3
1,true,2
1,no,-1
1,stronger,2
1,empty,-1
1,fire,-2
1,warmth,2
1,great,3
1,worry,-3
1,wonderful,4
1,sorry,-1
1,like,2
1,no,-1
1,shocked,-2
1,sorry,-1
1,sorry,-1
1,anger,-3
1,bad,-3
1,like,2
1,stop,-1
1,stop,-1
1,furious,-3
1,rage,-2
1,leave,-1
1,stop,-1
1,panic,-3
1,like,2
1,grand,3
1,dear,2
1,pleased,3
1,accepted,1
1,please,1
1,await,-1
1,no,-1
1,sincerely,2
1,like,2
1,await,-1
1,dear,2
1,horrible,-3
1,hope,2
1,angry,-3
1,like,2
1,great,3
1,like,2
1,stop,-1
1,interested,2
1,like,2
1,bad,-3
1,luck,3
1,stop,-1
1,like,2
1,disappeared,-1
1,no,-1
1,proud,2
1,stopped,-1
1,strange,-1
1,please,1
1,died,-3
1,crash,-2
1,crash,-2
1,crash,-2
1,kill,-3
1,outrage,-3
1,scandal,-3
1,anger,-3
1,anxious,-2
1,worried,-3
1,no,-1
1,trouble,-2
1,dirty,-2
1,best,3
1,great,3
1,fire,-2
1,like,2
1,help,2
1,no,-1
1,scared,-2
1,difficult,-1
1,bad,-3
1,bad,-3
1,worse,-3
1,worse,-3
1,worse,-3
1,no,-1
1,afraid,-2
1,trust,1
1,friendly,2
1,strange,-1
1,terrible,-3
1,killed,-3
1,safe,1
1,afraid,-2
1,good,3
1,want,1
1,dirty,-2
1,like,2
1,sorry,-1
1,sad,-2
1,killed,-3
1,kill,-3
1,clean,2
1,liked,2
1,no,-1
1,cut,-1
1,powerful,2
1,evil,-3
1,curse,-1
1,care,2
1,no,-1
1,kill,-3
1,no,-1
1,killed,-3
1,best,3
1,clearly,1
1,cruel,-3
1,laugh,1
1,sadly,-2
1,ruined,-2
1,forgotten,-1
1,courage,2
1,accept,1
1,strange,-1
1,good,3
1,beating,-1
1,no,-1
1,denying,-2
1,better,2
1,like,2
1,warning,-3
1,warning,-3
1,danger,-2
1,courage,2
1,failed,-2
1,better,2
1,sorry,-1
1,good,3
1,disappeared,-1
1,kill,-3
1,powerful,2
1,died,-3
1,die,-3
1,like,2
1,lost,-3
1,weak,-2
1,no,-1
1,warmth,2
1,feeling,1
1,pleased,3
1,proud,2
1,horrible,-3
1,mistake,-2
1,bullied,-2
1,defeated,-2
1,greatest,3
1,like,2
1,mistake,-2
1,scared,-2
1,angry,-3
1,fire,-2
1,odd,-2
1,furious,-3
1,upset,-2
1,angry,-3
1,reach,1
1,dreading,-2
1,ridiculous,-3
1,revenge,-2
1,smiling,2
1,positively,2
1,fight,-1
1,grateful,3
1,great,3
1,like,2
1,stop,-1
1,stop,-1
1,mad,-3
1,greatest,3
1,fool,-2
1,insult,-2
1,like,2
1,pain,-2
1,terrified,-3
1,lost,-3
1,like,2
1,grateful,3
1,keen,1
1,expelled,-2
1,great,3
1,expelled,-2
1,dream,1
1,good,3
1,dream,1
1,collapsed,-2
1,happy,3
1,straight,1
1,top,2
1,attack,-1
1,pay,-1
1,strange,-1
1,best,3
1,happy,3
1,huge,1
1,pay,-1
1,worry,-3
1,leave,-1
1,destroyed,-3
1,stop,-1
1,bad,-3
1,no,-1
1,yeah,1
1,mad,-3
1,rob,-2
1,mess,-2
1,want,1
1,safe,1
1,matter,1
1,proudly,2
1,important,2
1,trust,1
1,clear,1
1,yeah,1
1,shame,-2
1,eager,2
1,mad,-3
1,rob,-2
1,die,-3
1,hunger,-2
1,liked,2
1,alone,-2
1,difficult,-1
1,stop,-1
1,leave,-1
1,solutions,1
1,problems,-2
1,best,3
1,alone,-2
1,blame,-2
1,perfectly,3
1,like,2
1,dream,1
1,like,2
1,like,2
1,reached,1
1,like,2
1,good,3
1,hide,-1
1,please,1
1,fantastic,4
1,stuck,-2
1,barrier,-2
1,complained,-2
1,broken,-1
1,huge,1
1,huge,1
1,joke,2
1,no,-1
1,humor,2
1,unbelievable,-1
1,help,2
1,big,1
1,feeling,1
1,top,2
1,like,2
1,toothless,-2
1,stopped,-1
1,smiled,2
1,reached,1
1,great,3
1,good,3
1,bless,2
1,honor,2
1,tears,-2
1,welcome,2
1,welcome,2
1,great,3
1,proud,2
1,proud,2
1,delighted,3
1,top,2
1,excitement,3
1,cried,-2
1,nervously,-2
1,pleased,3
1,laughed,1
1,nervously,-2
1,terrified,-3
1,nervous,-2
1,yeah,1
1,poor,-2
1,brilliant,4
1,fine,2
1,nasty,-3
1,trouble,-2
1,scared,-2
1,scared,-2
1,welcome,2
1,solid,2
1,yeah,1
1,mad,-3
1,strange,-1
1,reached,1
1,yeah,1
1,clever,2
1,awaits,-1
1,greed,-3
1,pay,-1
1,dearly,3
1,treasure,2
1,warned,-2
1,treasure,2
1,like,2
1,mad,-3
1,rob,-2
1,free,1
1,safe,1
1,big,1
1,carefully,2
1,trusted,2
1,worth,2
1,fire,-2
1,huge,1
1,sick,-2
1,stopped,-1
1,stop,-1
1,trembling,-2
1,cleared,1
1,smiled,2
1,complained,-2
1,easy,1
1,safe,1
1,please,1
1,no,-1
1,trapped,-2
1,nasty,-3
1,top,2
1,fabulous,4
1,jewels,1
1,empty,-1
1,better,2
1,best,3
1,hate,-3
1,sick,-2
1,alone,-2
1,feeling,1
1,nervous,-2
1,smiling,2
1,clear,1
1,yes,1
1,bored,-2
1,drag,-1
1,bully,-2
1,no,-1
1,no,-1
1,crime,-3
1,agree,1
1,no,-1
1,feeling,1
1,stupid,-2
1,no,-1
1,leave,-1
1,wishing,1
1,interesting,2
1,pleased,3
1,yes,1
1,drunk,-2
1,fire,-2
1,brilliant,4
1,dead,-3
1,like,2
1,matter,1
1,sorry,-1
1,sorry,-1
1,kind,2
1,dear,2
1,sorry,-1
1,excuse,-1
1,stop,-1
1,nuts,-3
1,lied,-2
1,stopped,-1
1,cheered,2
1,worse,-3
1,like,2
1,best,3
1,like,2
1,like,2
1,hard,-1
1,better,2
1,bad,-3
1,sorry,-1
1,drag,-1
1,enemies,-2
1,loss,-3
1,curse,-1
1,good,3
1,solid,2
1,nice,3
1,fascinating,3
1,horrible,-3
1,bad,-3
1,bright,1
1,scoop,3
1,yeah,1
1,laughed,1
1,like,2
1,want,1
1,dead,-3
1,useful,2
1,jewel,1
1,bright,1
1,beautiful,3
1,stop,-1
1,thanks,2
1,like,2
1,best,3
1,fine,2
1,empty,-1
1,strangely,-1
1,good,3
1,like,2
1,gloom,-1
1,yes,1
1,yes,1
1,yes,1
1,nice,3
1,charm,3
1,favored,2
1,excellent,3
1,favored,2
1,sorry,-1
1,powerful,2
1,powerful,2
1,wrong,-2
1,nice,3
1,yes,1
1,good,3
1,expelled,-2
1,yes,1
1,yes,1
1,no,-1
1,powerful,2
1,no,-1
1,no,-1
1,good,3
1,nice,3
1,feeling,1
1,foolish,-2
1,no,-1
1,no,-1
1,no,-1
1,worry,-3
1,perfect,3
1,yes,1
1,nice,3
1,warmth,2
1,like,2
1,cried,-2
1,yes,1
1,good,3
1,curious,1
1,curious,1
1,curious,1
1,curious,1
1,sorry,-1
1,curious,1
1,curious,1
1,yes,1
1,curious,1
1,great,3
1,great,3
1,terrible,-3
1,yes,1
1,great,3
1,liked,2
1,empty,-1
1,funny,4
1,strange,-1
1,best,3
1,great,3
1,sorry,-1
1,died,-3
1,kind,2
1,smile,2
1,worry,-3
1,fine,2
1,hard,-1
1,hard,-1
1,great,3
1,problems,-2
1,fun,4
1,true,2
1,scared,-2
1,terrified,-3
1,furious,-3
1,empty,-1
1,improvement,2
1,depressing,-2
1,interesting,2
1,pleased,3
1,lucky,3
1,dead,-3
1,better,2
1,cleared,1
1,screamed,-2
1,yes,1
1,thank,2
1,funny,4
1,no,-1
1,mad,-3
1,bother,-2
1,friendly,2
1,excited,3
1,nervous,-2
1,want,1
1,safely,1
1,huge,1
1,reached,1
1,dumped,-2
1,strangely,-1
1,kind,2
1,stopped,-1
1,dead,-3
1,nasty,-3
1,big,1
1,big,1
1,good,3
1,smile,2
1,laughing,1
1,attract,1
1,funny,4
1,stopped,-1
1,annoyed,-2
1,stupid,-2
1,desperate,-3
1,hard,-1
1,panic,-3
1,no,-1
1,forgotten,-1
1,like,2
1,like,2
1,stopped,-1
1,like,2
1,careful,2
1,missed,-2
1,reached,1
1,barrier,-2
1,cleared,1
1,sorry,-1
1,dear,2
1,barrier,-2
1,excuse,-1
1,dear,2
1,big,1
1,yes,1
1,worry,-3
1,straight,1
1,barrier,-2
1,stop,-1
1,scared,-2
1,crash,-2
1,important,2
1,best,3
1,nervous,-2
1,barrier,-2
1,solid,2
1,barrier,-2
1,trouble,-2
1,broke,-1
1,barrier,-2
1,stop,-1
1,crash,-2
1,barrier,-2
1,empty,-1
1,lost,-3
1,sigh,-2
1,empty,-1
1,want,1
1,barrier,-2
1,yes,1
1,please,1
1,help,2
1,help,2
1,thanks,2
1,yes,1
1,jerk,-3
1,free,1
1,great,3
1,no,-1
1,dear,2
1,good,3
1,great,3
1,thanks,2
1,funny,4
1,worry,-3
1,safe,1
1,please,1
1,poor,-2
1,like,2
1,poor,-2
1,dear,2
1,no,-1
1,alone,-2
1,like,2
1,no,-1
1,kiss,2
1,good,3
1,cry,-1
1,laughing,1
1,crying,-2
1,disappear,-1
1,great,3
1,excitement,3
1,better,2
1,pretending,-1
1,jokes,2
1,yes,1
1,wow,4
1,interesting,2
1,yes,1
1,clearly,1
1,like,2
1,horrible,-3
1,wish,1
1,gloomy,-2
1,mess,-2
1,good,3
1,funny,4
1,no,-1
1,big,1
1,reached,1
1,gray,-1
1,useless,-2
1,wrong,-2
1,cheer,2
1,shocked,-2
1,impressed,3
1,brave,2
1,worrying,-3
1,worst,-3
1,great,3
1,smiling,2
1,best,3
1,strange,-1
1,miss,-2
1,empty,-1
1,starving,-2
1,like,2
1,want,1
1,share,1
1,share,1
1,nice,3
1,feeling,1
1,forgotten,-1
1,no,-1
1,missing,-2
1,thanks,2
1,greatest,3
1,enjoys,2
1,disappeared,-1
1,no,-1
1,want,1
1,help,2
1,amazed,2
1,weird,-2
1,smile,2
1,interested,2
1,want,1
1,careful,2
1,warned,-2
1,like,2
1,carefully,2
1,good,3
1,brave,2
1,funny,4
1,gray,-1
1,sorry,-1
1,lost,-3
1,yes,1
1,bothered,-2
1,died,-3
1,disgust,-3
1,interesting,2
1,lost,-3
1,cleared,1
1,sunshine,2
1,stupid,-2
1,gray,-1
1,good,3
1,pleased,3
1,best,3
1,hope,2
1,relieved,2
1,stunned,-2
1,great,3
1,feeling,1
1,goodness,3
1,hope,2
1,best,3
1,bad,-3
1,better,2
1,better,2
1,hope,2
1,stupid,-2
1,dud,-2
1,gloom,-1
1,bad,-3
1,yeah,1
1,depressed,-2
1,rob,-2
1,big,1
1,powerful,2
1,odd,-2
1,scared,-2
1,like,2
1,fear,-2
1,comfortable,2
1,worrying,-3
1,best,3
1,like,2
1,interest,1
1,true,2
1,yes,1
1,like,2
1,hiding,-1
1,funny,4
1,no,-1
1,better,2
1,want,1
1,wrong,-2
1,help,2
1,wrong,-2
1,thanks,2
1,careful,2
1,good,3
1,like,2
1,fight,-1
1,like,2
1,reached,1
1,horrible,-3
1,backed,1
1,disappeared,-1
1,lurking,-1
1,no,-1
1,disappeared,-1
1,excuse,-1
1,help,2
1,better,2
1,trouble,-2
1,dirt,-2
1,reaching,1
1,please,1
1,leave,-1
1,nerves,-1
1,stopped,-1
1,big,1
1,losing,-3
1,great,3
1,sparkling,3
1,no,-1
1,great,3
1,reached,1
1,hid,-1
1,reached,1
1,kind,2
1,cried,-2
1,huge,1
1,thank,2
1,big,1
1,fit,1
1,like,2
1,empty,-1
1,nervously,-2
1,welcome,2
1,great,3
1,important,2
1,like,2
1,free,1
1,noble,2
1,outstanding,5
1,awarded,3
1,great,3
1,honor,2
1,hope,2
1,nervously,-2
1,please,1
1,hurts,-2
1,horrible,-3
1,like,2
1,terrified,-3
1,no,-1
1,hard,-1
1,nervous,-2
1,doom,-2
1,screamed,-2
1,like,2
1,forgive,1
1,forget,-1
1,chance,2
1,dear,2
1,chances,2
1,bad,-3
1,ghost,-1
1,ghost,-1
1,smiling,2
1,hope,2
1,feeling,1
1,great,3
1,strange,-1
1,splendid,3
1,top,2
1,like,2
1,avoid,-1
1,like,2
1,hard,-1
1,great,3
1,top,2
1,dirty,-2
1,like,2
1,pretty,1
1,smarter,2
1,top,2
1,brave,2
1,daring,2
1,loyal,3
1,true,2
1,kind,2
1,afraid,-2
1,safe,1
1,applause,2
1,kill,-3
1,smiled,2
1,yes,1
1,better,2
1,wish,1
1,brave,2
1,cheered,2
1,ghost,-1
1,cheers,2
1,like,2
1,sick,-2
1,no,-1
1,good,3
1,no,-1
1,liked,2
1,horrible,-3
1,struck,-1
1,horrible,-3
1,nervous,-2
1,mistake,-2
1,better,2
1,losing,-3
1,wish,1
1,screamed,-2
1,join,1
1,pleased,3
1,broke,-1
1,like,2
1,good,3
1,difficult,-1
1,difficult,-1
1,courage,2
1,bad,-3
1,goodness,3
1,yes,1
1,nice,3
1,interesting,2
1,great,3
1,help,2
1,no,-1
1,doubt,-1
1,no,-1
1,better,2
1,relieved,2
1,cheer,2
1,ghost,-1
1,ghost,-1
1,horrible,-3
1,feeling,1
1,nervous,-2
1,collapsed,-2
1,excellent,3
1,empty,-1
1,pleased,3
1,welcome,2
1,welcome,2
1,like,2
1,thank,2
1,cheered,2
1,laugh,1
1,mad,-3
1,mad,-3
1,best,3
1,mad,-3
1,yes,1
1,liked,2
1,strange,-1
1,starved,-2
1,liked,2
1,sick,-2
1,good,3
1,ghost,-1
1,sadly,-2
1,cut,-1
1,ghost,-1
1,miss,-2
1,ghost,-1
1,ghost,-1
1,interrupted,-2
1,like,2
1,pleased,3
1,stunned,-2
1,hope,2
1,help,2
1,win,4
1,winning,4
1,bloody,-3
1,ghost,-1
1,horrible,-3
1,ghost,-1
1,pleased,3
1,pleased,3
1,great,3
1,interest,1
1,sparkling,3
1,clean,2
1,blocks,-1
1,nasty,-3
1,shock,-2
1,laughed,1
1,great,3
1,drowned,-2
1,great,3
1,great,3
1,accidentally,-2
1,pleased,3
1,crying,-2
1,happy,3
1,great,3
1,pleased,3
1,hope,2
1,interested,2
1,difficult,-1
1,warm,1
1,straight,1
1,pain,-2
1,pain,-2
1,feeling,1
1,feeling,1
1,like,2
1,no,-1
1,nervous,-2
1,want,1
1,awful,-3
1,disappeared,-1
1,no,-1
1,interested,2
1,wish,1
1,die,-3
1,death,-2
1,laughed,1
1,frowning,-1
1,odd,-2
1,cried,-2
1,smiles,2
1,favorite,2
1,please,1
1,interesting,2
1,dead,-3
1,worth,2
1,best,3
1,funeral,-1
1,great,3
1,like,2
1,tired,-2
1,like,2
1,want,1
1,bloody,-3
1,wicked,-2
1,evil,-3
1,fun,4
1,stuck,-2
1,want,1
1,bloody,-3
1,top,2
1,tired,-2
1,great,3
1,strange,-1
1,dream,1
1,want,1
1,laughing,1
1,struggled,-2
1,laugh,1
1,dream,1
1,solid,2
1,pretending,-1
1,hard,-1
1,help,2
1,nasty,-3
1,shock,-2
1,happy,3
1,worth,2
1,drop,-1
1,worse,-3
1,wrong,-2
1,lost,-3
1,threatening,-2
1,rescued,2
1,like,2
1,like,2
1,alone,-2
1,better,2
1,hated,-3
1,good,3
1,funny,4
1,care,2
1,strange,-1
1,boring,-3
1,ghost,-1
1,fallen,-2
1,fire,-2
1,evil,-3
1,reached,1
1,excited,3
1,clever,2
1,leave,-1
1,warned,-2
1,impressed,3
1,smile,2
1,joke,2
1,afraid,-2
1,thank,2
1,funny,4
1,protected,1
1,relieved,2
1,like,2
1,like,2
1,important,2
1,great,3
1,lost,-3
1,favors,2
1,true,2
1,wish,1
1,favored,2
1,stopped,-1
1,huge,1
1,shock,-2
1,great,3
1,dear,2
1,like,2
1,want,1
1,yes,1
1,please,1
1,lucky,3
1,worst,-3
1,wrong,-2
1,dislike,-2
1,hated,-3
1,like,2
1,like,2
1,yes,1
1,like,2
1,warmth,2
1,empty,-1
1,like,2
1,like,2
1,gift,2
1,foolish,-2
1,fame,1
1,glory,2
1,death,-2
1,big,1
1,desperate,-3
1,fame,1
1,clearly,1
1,ignored,-2
1,forced,-1
1,straight,1
1,laughed,1
1,pleased,3
1,powerful,2
1,death,-2
1,save,2
1,poisons,-2
1,improve,2
1,crush,-1
1,criticizing,-2
1,like,2
1,perfect,3
1,collapsed,-2
1,moaned,-2
1,pain,-2
1,angry,-3
1,idiot,-3
1,fire,-2
1,good,3
1,wrong,-2
1,lost,-3
1,unfair,-2
1,nasty,-3
1,lost,-3
1,hate,-3
1,cheer,2
1,frantic,-1
1,big,1
1,struggling,-2
1,fire,-2
1,straight,1
1,like,2
1,clearly,1
1,broke,-1
1,enjoying,2
1,delighted,3
1,like,2
1,like,2
1,worry,-3
1,liked,2
1,hate,-3
1,help,2
1,liked,2
1,great,3
1,cutting,-1
1,good,3
1,rob,-2
1,no,-1
1,doubt,-1
1,refuse,-2
1,want,1
1,hated,-3
1,fool,-2
1,fool,-2
1,good,3
1,complained,-2
1,boastful,-2
1,escaping,-1
1,big,1
1,shared,1
1,exciting,3
1,no,-1
1,good,3
1,accidents,-2
1,nervous,-2
1,bored,-2
1,stupid,-2
1,desperate,-3
1,help,2
1,pleased,3
1,interrupted,-2
1,forget,-1
1,forgotten,-1
1,like,2
1,forgotten,-1
1,forgotten,-1
1,hoping,2
1,fight,-1
1,trouble,-2
1,clear,1
1,complain,-2
1,gray,-1
1,like,2
1,stuck,-2
1,odd,-2
1,like,2
1,afraid,-2
1,clearly,1
1,delighted,3
1,wrong,-2
1,hard,-1
1,straight,1
1,nervous,-2
1,jumpy,-1
1,frightened,-2
1,hard,-1
1,straight,1
1,like,2
1,scared,-2
1,falling,-1
1,nasty,-3
1,broken,-1
1,leave,-1
1,dear,2
1,no,-1
1,great,3
1,hard,-1
1,like,2
1,stupid,-2
1,stopped,-1
1,smiled,2
1,leave,-1
1,no,-1
1,trouble,-2
1,ignored,-2
1,hard,-1
1,joy,3
1,easy,1
1,wonderful,4
1,screams,-2
1,admiring,3
1,stunned,-2
1,yeah,1
1,worried,-3
1,like,2
1,no,-1
1,save,2
1,struck,-1
1,screams,-2
1,straight,1
1,safely,1
1,trembling,-2
1,shock,-2
1,broken,-1
1,miss,-2
1,triumphant,4
1,expelled,-2
1,wrong,-2
1,expelled,-2
1,stopped,-1
1,excuse,-1
1,confused,-2
1,empty,-1
1,delight,3
1,natural,1
1,like,2
1,expelled,-2
1,feeling,1
1,dreams,1
1,true,2
1,heaven,2
1,better,2
1,want,1
1,hard,-1
1,smiled,2
1,proud,2
1,excellent,3
1,forgotten,-1
1,excitement,3
1,amazed,2
1,impressed,3
1,win,4
1,won,3
1,brilliant,4
1,good,3
1,disappeared,-1
1,welcome,2
1,want,1
1,no,-1
1,matter,1
1,die,-3
1,die,-3
1,damage,-3
1,refuse,-2
1,excuse,-1
1,peace,2
1,ignored,-2
1,help,2
1,selfish,-3
1,good,3
1,perfect,3
1,falling,-1
1,curse,-1
1,better,2
1,block,-1
1,good,3
1,chance,2
1,luck,3
1,looming,-1
